word,stem_group,type
주눅들어하다,396,-어 하다
즐겁다,397,원형
즐거워지다,397,지다
즐거워하다,397,-어 하다
즐기다,398,원형
즐겨하다,398,-어 하다
증오스럽다,399,원형
증오스러워지다,399,지다
증오스러워하다,399,-어 하다
증오하다,400,원형
증오해지다,400,지다
증오되다,400,명사+기타
지겹다,401,원형
지겨워지다,401,지다
지겨워하다,401,-어 하다
지긋지긋하다,402,원형
지긋지긋해지다,402,지다
지긋지긋해하다,402,-어 하다
지루하다,403,원형
지루해지다,403,지다
지루해하다,403,-어 하다
진노하다,404,원형
진노되다,404,명사+기타
진력나다,405,원형
진력나지다,405,지다
진력나하다,405,-어 하다
진저리나다,406,원형
진저리나지다,406,지다
진저리치다,406,명사+기타
질겁하다,407,원형
질겁해지다,407,지다
질리다,408,원형
질려하다,408,-어 하다
질색하다,409,원형
질색해하다,409,-어 하다
질투하다,410,원형
질투나다,410,명사+기타
질투부리다,410,명사+기타
징그럽다,411,원형
징그러워지다,411,지다
징그러워하다,411,-어 하다
짜증나다,412,원형
짜증나지다,412,지다
짜증나하다,412,-어 하다
짜증내다,412,명사+기타
짜증스럽다,413,원형
짜증스러워지다,413,지다
짜증스러워하다,413,-어 하다
짝사랑하다,414,원형
쩨쩨하다,415,원형
쩨쩨해지다,415,지다
쩨쩨해하다,415,-어 하다
찝찝하다,416,원형
찝찝해지다,416,지다
찝찝해하다,416,-어 하다
찡하다,417,원형
찡해지다,417,지다
찡해하다,417,-어 하다
착잡하다,418,원형
착찹해지다,418,지다
착찹해하다,418,-어 하다
참담하다,419,원형
참담해지다,419,지다
참담해하다,419,-어 하다
창피스럽다,420,원형
창피스러워지다,420,지다
창피스러워하다,420,-어 하다
창피하다,421,원형
창피해지다,421,지다
창피해하다,421,-어 하다
책망하다,422,원형
책망받다,422,명사+기타
처량스럽다,423,원형
처량스러워지다,423,지다
처량스러워하다,423,-어 하다
처량하다,424,원형
처량해지다,424,지다
처량해하다,424,-어 하다
처연스럽다,425,원형
처연스러워지다,425,지다
처연스러워하다,425,-어 하다
처연하다,426,원형
처연해지다,426,지다
처연해하다,426,-어 하다
처참하다,427,원형
처참해지다,427,지다
처참해하다,427,-어 하다
초조하다,428,원형
초조해지다,428,지다
초조해하다,428,-어 하다
측은하다,429,원형
측은해지다,429,지다
측은해하다,429,-어 하다
치떨다,430,원형
치떨어지다,430,지다
치떨어하다,430,-어 하다
치떨리다,431,원형
치떨려지다,431,지다
치떨려하다,431,-어 하다
치사스럽다,432,원형
치사스러워지다,432,지다
치사스러워하다,432,-어 하다
치사하다,433,원형
치사해지다,433,지다
치사해하다,433,-어 하다
치욕스럽다,434,원형
치욕스러워지다,434,지다
치욕스러워하다,434,-어 하다
친애하다,435,원형
침울하다,436,원형
침울해지다,436,지다
침울해하다,436,-어 하다
침통하다,437,원형
침통해지다,437,지다
침통해하다,437,-어 하다
켕기다,438,원형
켕겨하다,438,-어 하다
코웃음치다,439,원형
코웃음쳐지다,439,지다
탄복하다,440,원형
탄식하다,441,원형
탐나다,442,원형
탐나하다,442,-어 하다
탐내다,442,명사+기타
탓하다,443,원형
탓해지다,443,지다
탓해하다,443,-어 하다
태평스럽다,444,원형
태평스러워지다,444,지다
태평스러워하다,444,-어 하다
태평하다,445,원형
태평해지다,445,지다
태평해하다,445,-어 하다
토라지다,446,원형
통쾌하다,447,원형
통쾌해지다,447,지다
통쾌해하다,447,-어 하다
통탄스럽다,448,원형
통탄스러워지다,448,지다
통탄스러워하다,448,-어 하다
통탄하다,449,원형
통탄해지다,449,지다
통탄해하다,449,-어 하다
투기하다,450,원형
편안하다,451,원형
편안해지다,451,지다
편안해하다,451,-어 하다
편찮다,452,원형
편찮아지다,452,지다
편찮아하다,452,-어 하다
평온하다,453,원형
평온해지다,453,지다
평온해하다,453,-어 하다
폐롭다,454,원형
폐로워지다,454,지다
폐되다,454,명사+기타
포기하다,455,원형
포기해지다,455,지다
포기되다,455,명사+기타
풀죽다,456,원형
풀죽어지다,456,지다
풀죽어하다,456,-어 하다
한맺히다,457,원형
한맺혀하다,457,-어 하다
한스럽다,458,원형
한스러워지다,458,지다
한스러워하다,458,-어 하다
한되다,458,명사+기타
한탄스럽다,459,원형
한탄스러워지다,459,지다
한탄스러워하다,459,-어 하다
한탄하다,460,원형
한탄해지다,460,지다
한탄해하다,460,-어 하다
한탄되다,460,명사+기타
행복하다,461,원형
행복해지다,461,지다
행복해하다,461,-어 하다
허망스럽다,462,원형
허망스러워지다,462,지다
허망스러워하다,462,-어 하다
허망하다,463,원형
허망해지다,463,지다
허망해하다,463,-어 하다
허망되다,463,명사+기타
허무하다,464,원형
허무해지다,464,지다
허무해하다,464,-어 하다
허전하다,465,원형
허전해지다,465,지다
허전해하다,465,-어 하다
허탈하다,466,원형
허탈해지다,466,지다
허탈해하다,466,-어 하다
허허롭다,467,원형
허허로워지다,467,지다
허허로워하다,467,-어 하다
혐오스럽다,468,원형
혐오스러워지다,468,지다
혐오스러워하다,468,-어 하다
혐오하다,469,원형
혐오되다,469,명사+기타
호감가다,470,원형
호감가지다,470,지다
호감받다,470,명사+기타
혼비백산하다,471,원형
혼비백산해지다,471,지다
홀가분하다,472,원형
홀가분해지다,472,지다
홀가분해하다,472,-어 하다
화나다,473,원형
화내지다,473,지다
화내다,473,명사+기타
환멸스럽다,474,원형
환멸스러워지다,474,지다
환멸스러워하다,474,-어 하다
환멸하다,475,원형
황공스럽다,476,원형
황공스러워지다,476,지다
황공스러워하다,476,-어 하다
황공하다,477,원형
황공해지다,477,지다
황공해하다,477,-어 하다
황송스럽다,478,원형
황송스러워지다,478,지다
황송스러워하다,478,-어 하다
황송하다,479,원형
황송해지다,479,지다
황송해하다,479,-어 하다
황홀하다,480,원형
황홀해지다,480,지다
황홀해하다,480,-어 하다
회개하다,481,원형
회환하다,482,원형
후련하다,483,원형
후련해지다,483,지다
후련해하다,483,-어 하다
후회스럽다,484,원형
후회스러워지다,484,지다
후회스러워하다,484,-어 하다
후회하다,485,원형
후회되다,485,명사+기타
흐뭇하다,486,원형
흐뭇해지다,486,지다
흐뭇해하다,486,-어 하다
흠모하다,487,원형
흡족스럽다,488,원형
흡족스러워지다,488,지다
흡족스러워하다,488,-어 하다
흡족하다,489,원형
흡족해지다,489,지다
흡족해하다,489,-어 하다
흥겹다,490,원형
흥겨워지다,490,지다
흥겨워하다,490,-어 하다
흥미롭다,491,원형
흥미로워지다,491,지다
흥미로워하다,491,-어 하다
흥미진진하다,492,원형
흥미진진해지다,492,지다
흥미진진해하다,492,-어 하다
흥분하다,493,원형
흥분해하다,493,-어 하다
흥분되다,493,명사+기타
