word,stem_group,type
낯설어지다,92,지다
낯설어하다,92,-어 하다
냉담하다,93,원형
냉담해지다,93,지다
노발대발하다,94,원형
노발대발해지다,94,지다
노심초사하다,95,원형
노심초사해지다,95,지다
노엽다,96,원형
노여워지다,96,지다
노여워하다,96,-어 하다
노하다,97,원형
놀라다,98,원형
놀랍다,99,원형
놀라워하다,99,-어 하다
눈물겹다,100,원형
눈물겨워지다,100,지다
눈물겨워하다,100,-어 하다
뉘우치다,101,원형
뉘우쳐지다,101,지다
달갑다,102,원형
달가워지다,102,지다
달가워하다,102,-어 하다
담담하다,103,원형
담담해지다,103,지다
담담해하다,103,-어 하다
답답스럽다,104,원형
답답스러워지다,104,지다
답답하다,105,원형
답답해지다,105,지다
답답해하다,105,-어 하다
당혹스럽다,106,원형
당혹스러워지다,106,지다
당혹스러워하다,106,-어 하다
당혹하다,107,원형
당혹해하다,107,-어 하다
당황스럽다,108,원형
당황스러워지다,108,지다
당황스러워하다,108,-어 하다
당황하다,109,원형
당황해하다,109,-어 하다
당황되다,109,명사+기타
대견스럽다,110,원형
대견스러워지다,110,지다
대견스러워하다,110,-어 하다
대견하다,111,원형
대견해지다,111,지다
대견해하다,111,-어 하다
덤덤하다,112,원형
덤덤해지다,112,지다
덤덤해하다,112,-어 하다
덧없다,113,원형
덧없어지다,113,지다
덧없어하다,113,-어 하다
도취하다,114,원형
도취되다,114,명사+기타
동감하다,115,원형
동감되다,115,명사+기타
동경하다,116,원형
동요하다,117,원형
동요되다,117,명사+기타
동정하다,118,원형
두렵다,119,원형
두려워지다,119,지다
두려워하다,119,-어 하다
뒤숭숭하다,120,원형
뒤숭숭해지다,120,지다
뒤숭숭해하다,120,-어 하다
든든하다,121,원형
든든해지다,121,지다
든든해하다,121,-어 하다
들뜨다,122,원형
듬직하다,123,원형
듬직해지다,123,지다
듬직해하다,123,-어 하다
따분하다,124,원형
따분해지다,124,지다
따분해하다,124,-어 하다
딱하다,125,원형
딱해지다,125,지다
딱해하다,125,-어 하다
떠름하다,126,원형
떠름해지다,126,지다
떠름해하다,126,-어 하다
떨떠름하다,127,원형
떨떠름해지다,127,지다
떨떠름해하다,127,-어 하다
떫다,128,원형
떫어지다,128,지다
떫어하다,128,-어 하다
떳떳하다,129,원형
떳떳해지다,129,지다
떳떳해하다,129,-어 하다
뜨끔하다,130,원형
뜨끔해지다,130,지다
뜨끔해하다,130,-어 하다
뜨악하다,131,원형
뜨악해지다,131,지다
뜨악해하다,131,-어 하다
막막하다,132,원형
막막해지다,132,지다
막막해하다,132,-어 하다
막연하다,133,원형
막연해지다,133,지다
막연해하다,133,-어 하다
만만하다,134,원형
만만해지다,134,지다
만만해하다,134,-어 하다
만족스럽다,135,원형
만족스러워지다,135,지다
만족스러워하다,135,-어 하다
만족하다,136,원형
만족해지다,136,지다
만족해하다,136,-어 하다
만족되다,136,명사+기타
맘놓다,137,원형
맘놔지다,137,지다
맘놔하다,137,-어 하다
망설이다,138,원형
망설여지다,138,지다
망설여하다,138,-어 하다
망신스럽다,139,원형
망신스러워지다,139,지다
망신스러워하다,139,-어 하다
망연자실하다,140,원형
망연자실해지다,140,지다
망연자실해하다,140,-어 하다
망연하다,141,원형
망연해지다,141,지다
망연해하다,141,-어 하다
매료하다,142,원형
매료되다,142,명사+기타
매혹하다,143,원형
매혹되다,143,명사+기타
맥빠지다,144,원형
맥빠져하다,144,-어 하다
맺히다,145,원형
