word
죄송스럽다
죄스럽다
죄의식
죄책감
주눅들다
즐겁다
즐기다
증오하다
지겹다
지긋지긋하다
지루하다
지리하다
진노하다
진저리나다
질겁하다
질리다
질색하다
질투하다
짜증내다
짝사랑하다
찡하다
착잡하다
참담하다
창피하다
처량하다
처연하다
처절하다
처참하다
체념하다
초조하다
충족감
허탈하다
허허롭다
혐오하다
호감
혼비백산하다
홀가분하다
화나다
환멸
환희
황공하다
황당하다
황송하다
황홀하다
회개
회오
회한
후련하다
후회하다
흐뭇하다
흠모하다
흡족하다
흥겹다
흥나다
흥미롭다
흥미진진하다
흥분
흥취
희
희비
희열
희희낙락하다
위압감
위축감
위화감
유감
유쾌하다
음울하다
의기소침하다
의기양양하다
의분
의심
의아하다
의혹
이뻐하다
자괴
자긍
자기혐오
자랑스럽다
자만심
자부하다
자신만만하다
자족하다
자책하다
재미있다
적의
적적하다
전전긍긍
절망하다
절박감
절절하다
정감
정겹다
측은하다
치떨리다
치욕스럽다
친애하다
침울하다
침통하다
켕기다
코웃음
쾌감
태평스럽다
토라지다
통분
통쾌하다
통탄하다
통한
패배감
편안하다
편하다
평안하다
평온하다
평화롭다
풀죽다
한
한맺히다
한스럽다
한탄하다
행복하다
향수
허망하다
허무하다
허전하다
식상하다
신경질
신나다
신명나다
신물나다
신바람나다
실망하다
애잔하다
애정
애증
애지중지하다
애착
애처럽다
애타다
애통하다
애틋하다
애환
야속하다
약오르다
얄밉다
어이없다
어처구니없다
억울하다
언짢다
여한
역겹다
역정
연모하다
연민
연연하다
연정
열광하다
열등감
열애
열정
염려하다
영광스럽다
영예롭다
온정
외롭다
우려하다
우수
우습다
우울하다
우쭐하다
정답다
정욕
정한
조마조마하다
조바심
좋다
좌절하다
상실감
상심하다
상쾌하다
상큼하다
샐쭉하다
샘내다
서글프다
실의
싫다
싫증나다
심드렁하다
심란하다
심려하다
심심하다
심통
싱숭생숭하다
쑥스럽다
쓸쓸하다
씁쓸하다
아니꼽다
아련하다
아리다
아쉽다
아슬아슬하다
아연실색하다
아연하다
아찔하다
안달복달하다
안달하다
안도하다
안락하다
안심
안쓰럽다
안정되다
안타깝다
암담하다
암울하다
애
애끓다
애달프다
애닯다
애도하다
애련
애석하다
애수
울분
울적하다
울화
울화통
원망하다
원통하다
원한
멋쩍다
모멸
무감동하다
무덤덤하다
무력감
무료하다
무색하다
무섭다
무시무시하다
무안하다
뭉클하다
미안하다
민망하다
밉다
박진감
반감
반갑다
반하다
반항심
발끈하다
배신감
서러워하다
서럽다
서먹하다
서운하다
선뜩하다
선호하다
설레다
설워하다
섬뜩하다
섭섭하다
성나다
성내다
성취감
소름끼치다
소외감
속상하다
속시원하다
속타다
송구하다
송연하다
수심
수치
숙연하다
순정
스산하다
슬프다
시기하다
시름겹다
시무룩하다
시원섭섭하다
시큰둥하다
노하다
놀라다
놀랍다
눈물겹다
뉘우치다
달가워하다
담담하다
답답하다
당혹하다
당황하다
덤덤하다
도취하다
동감하다
동경하다
동병상련
동요하다
동정하다
두렵다
들뜨다
따분하다
딱하다
번뇌하다
번민하다
보람차다
부끄럽다
부럽다
부아
분개하다
분노하다
분통
분하다
불만
불만족하다
불쌍하다
불안하다
불쾌하다
불편하다
불행하다
비련
비분강개하다
비애
비장하다
비참하다
비탄하다
비통하다
뼈아프다
뾰로통하다
뿌듯하다
사랑스럽다
사모하다
사무치다
살맛나다
경탄하다
고깝다
고뇌하다
고독하다
고립감
고맙다
고무되다
고민하다
고적하다
곤혹스럽다
골나다
공감하다
공포
공허하다
괘씸하다
괴롭다
교감하다
구슬프다
굴욕
권태롭다
귀찮다
그립다
근심걱정
근심하다
긍지
기겁하다
기고만장하다
기껍다
기막히다
기쁘다
기절초풍하다
기죽다
긴장하다
꺼리다
떠름하다
떨떠름하다
떫다
떳떳하다
뜨끔하다
뜨악하다
마땅찮다
막막하다
만족하다
맘놓다
망설이다
망연자실하다
망연하다
매료되다
매혹
맥빠지다
머쓱하다
가뜬하다
가련하다
가소롭다
가엾다
가증스럽다
가책
갈등하다
감개
감개무량하다
감격하다
감동하다
감명
감미롭다
감복하다
감탄하다
감흥
감회
개탄하다
거부감
거북하다
걱정하다
겁나다
격노하다
격동되다
격분하다
격앙하다
격정
격하다
겸연쩍다
경멸하다
경악하다
경애하다
경외하다
경쾌하다
꺼림직하다
께름직하다
끔찍하다
낙
낙담하다
낙망하다
낙심하다
남부끄럽다
남부럽다
낭패스럽다
낯간지럽다
낯뜨겁다
노기
노발대발
노심초사하다
노엽다
노파심
